product_id,current_price,competitor_price,demand_last_week,stock_level,marketing_spend,season,day_of_week,customer_rating,units_sold,optimal_price
5743,3801692.58,4065709.92,363,141,5665.67,winter,thursday,3.35,86,3964828.94
6429,9511578.78,9501148.47,465,837,11371.51,winter,tuesday,4.41,593,8786885.52
8956,7344059.96,6896756.2,327,383,12632.27,festival,monday,4.41,51,6761543.89
1777,6022705.58,6307750.34,88,9,8078.29,summer,tuesday,4.73,21,5549887.52
5380,1636144.73,1609533.86,194,42,3830.95,winter,saturday,4.31,220,1804804.01
9114,1635905.7,1666866.03,282,748,6560.2,festival,friday,4.95,392,1795810.94
3697,665608.6,613327.08,335,717,2822.72,winter,friday,4.93,330,978423.65
3131,8673805.6,8902072.39,287,85,10348.78,summer,friday,3.52,394,8071846.5
2741,6047049.77,5894120.47,288,639,8341.81,winter,monday,4.3,699,5545540.66
1344,7106999.25,6871316.59,239,748,9027.83,winter,tuesday,2.55,694,6290762.01
4710,293992.34,322210.64,55,767,2147.32,monsoon,wednesday,3.46,17,212168.78
9817,9701806.63,9570697.66,58,450,11892.24,winter,tuesday,3.52,259,8407986.54
3821,8339506.57,8636457.01,207,263,9874.97,summer,monday,4.58,568,7648990.27
5757,2194280.59,2250334.6,413,613,3647.97,summer,wednesday,3.18,328,2435874.25
4434,1891885.43,1742162.96,490,756,3341.99,monsoon,sunday,3.04,592,2182315.72
1474,1907538.69,2002124.96,419,163,3637.81,monsoon,sunday,3.66,207,2357150.92
6803,3105040.63,2995221.06,121,964,4624.88,summer,tuesday,3.07,242,2629411.86
2416,5290336.24,5606634.39,456,289,7578.27,winter,sunday,2.94,157,5361449.3
3616,4370575.13,4464665.56,239,832,6261.18,summer,monday,3.69,244,4019833.69
6330,2976080.78,2867210.68,135,260,7849.15,festival,sunday,3.18,656,2802844.88
7829,6153462.19,5976603.02,284,76,8052.49,summer,thursday,2.8,289,5757372.46
6905,1472384.16,1540557.72,269,665,3656.86,summer,saturday,3.14,690,1593631.5
9943,2985153.47,3015040.42,81,557,7540.92,festival,saturday,4.37,148,2701260.33
5696,3720645.87,3845920.79,321,553,5950.06,monsoon,wednesday,2.77,423,3660382.37
5589,4609653.54,4294646.71,229,161,10056.01,festival,saturday,2.74,630,4324543.61
5773,7871093.78,8322857.84,300,746,9493.3,monsoon,wednesday,3.52,270,7264958.43
7778,2068767.18,1994453.47,357,606,7308.15,festival,friday,2.91,158,2257680.24
2888,5186063.28,5310384.9,436,946,7336.65,summer,saturday,3.47,56,4995100.02
4493,5960828.38,5501462.89,477,805,8194.93,summer,tuesday,4.79,697,5621618.43
8010,550323.59,530668.26,380,661,2496.32,summer,sunday,2.87,125,928423.25
8805,6110769.48,6292708.22,316,411,10965.87,festival,wednesday,4.3,158,5849923.73
8020,1779894.07,1699516.24,163,566,3208.11,winter,monday,2.69,11,1665418.26
3792,734661.29,790541.42,313,585,5593.65,festival,saturday,4.44,135,1107930.89
8427,9493455.67,9799578.6,169,339,11200.89,monsoon,tuesday,4.84,587,8577887.55
8278,9659413.45,10374747.87,380,110,11421.18,monsoon,friday,4.45,256,9222419.46
2421,8101217.72,7931725.18,359,651,9806.26,winter,sunday,4.7,407,7419481.2
6078,3108722.45,2818980.28,159,721,5256.45,monsoon,thursday,4.35,140,2743538.18
7246,1057930.65,1074040.81,60,484,2688.24,winter,sunday,3.19,682,952997.7
3775,6870749.29,6649777.06,126,828,8589.1,monsoon,monday,3.07,640,5904681.73
3587,4451911.21,4405779.06,425,100,6284.81,winter,saturday,4.75,309,4567057.03
8687,1299398.91,1346465.79,221,840,6239.03,festival,monday,2.58,530,1343294.59
2207,4997203.18,5197755.6,23,90,6548.19,winter,tuesday,3.85,59,4490511.28
1795,430790.24,390085.42,469,373,2000.0,summer,monday,3.34,657,1042360.26
8443,9101365.18,9591569.57,10,811,10769.75,winter,saturday,4.78,373,7912067.97
7685,2654509.62,2651068.8,372,363,4992.25,winter,saturday,2.91,594,2837484.68
6176,6655595.84,6731068.66,180,464,8700.31,monsoon,thursday,3.42,118,6009602.96
5327,3179056.76,3050619.17,32,705,4862.48,winter,wednesday,2.74,135,2627904.17
4351,5243874.09,5160846.56,293,704,6792.53,summer,sunday,4.85,153,4859572.67
