product_id,current_price,competitor_price,demand_last_week,stock_level,marketing_spend,season,day_of_week,customer_rating,units_sold,optimal_price
2293,3801692.58,4065709.92,348,174,584552032.03,monsoon,tuesday,4.15,687,4155719.91
8151,9511578.78,9501148.47,479,782,531228904.72,winter,wednesday,4.95,29,8930227.32
5886,7344059.96,6896756.2,203,348,356877617.06,monsoon,thursday,4.27,455,6572198.65
2946,6022705.58,6307750.34,81,815,497773743.98,summer,wednesday,2.6,567,5382700.04
4551,1636144.73,1609533.86,391,700,370810765.73,monsoon,tuesday,3.16,528,2007845.14
8159,1635905.7,1666866.03,301,927,661009953.46,festival,monday,4.46,190,1992912.92
2472,665608.6,613327.08,67,61,836514383.8,festival,tuesday,3.27,519,1115940.05
8254,8673805.6,8902072.39,209,436,788812386.91,winter,wednesday,3.94,278,8097120.99
7284,6047049.77,5894120.47,289,224,346626191.56,winter,sunday,3.01,114,5693926.61
5621,7106999.25,6871316.59,433,489,513834718.4,monsoon,monday,2.72,493,6784361.92
6536,293992.34,322210.64,490,548,19560392.66,winter,tuesday,3.64,316,911539.18
6262,9701806.63,9570697.66,334,167,871445635.97,monsoon,saturday,2.77,630,9149225.76
9910,8339506.57,8636457.01,83,308,252187263.42,summer,tuesday,4.17,329,7419259.35
2308,2194280.59,2250334.6,495,680,446121670.7,winter,monday,3.69,629,2717315.54
2619,1891885.43,1742162.96,469,213,160177491.01,winter,saturday,3.95,390,2361874.62
9140,1907538.69,2002124.96,151,240,681005595.27,monsoon,friday,4.08,252,2226386.57
3150,3105040.63,2995221.06,306,887,549389977.78,festival,friday,4.34,249,3160733.65
7063,5290336.24,5606634.39,34,844,370506648.18,monsoon,friday,2.84,289,4631528.57
6370,4370575.13,4464665.56,446,380,539376901.45,summer,wednesday,4.61,325,4660104.44
6616,2976080.78,2867210.68,441,564,176217958.24,festival,thursday,4.62,622,3169816.61
2067,6153462.19,5976603.02,492,588,777657686.26,winter,saturday,3.16,357,6191013.95
6008,1472384.16,1540557.72,34,53,272565515.12,winter,friday,4.99,368,1543161.36
4405,2985153.47,3015040.42,181,337,618489348.76,summer,sunday,3.14,66,3088791.21
1987,3720645.87,3845920.79,95,891,900305437.32,monsoon,wednesday,3.06,600,3586684.18
5043,4609653.54,4294646.71,256,731,47238337.97,festival,thursday,3.57,646,4083422.63
4732,7871093.78,8322857.84,439,55,393046137.47,monsoon,thursday,3.11,512,7726682.0
4012,2068767.18,1994453.47,454,447,142703499.84,summer,saturday,2.97,378,2413809.74
9990,5186063.28,5310384.9,77,278,909479790.96,winter,wednesday,3.13,70,4994890.17
1041,5960828.38,5501462.89,284,378,365836747.5,summer,friday,2.94,521,5483212.85
4211,550323.59,530668.26,29,256,220420858.32,winter,friday,3.16,120,601988.88
9474,6110769.48,6292708.22,36,755,679388286.51,festival,sunday,3.77,659,5491329.82
4770,1779894.07,1699516.24,416,238,547304052.34,summer,saturday,3.22,408,2379448.64
4172,734661.29,790541.42,48,172,818584251.61,festival,wednesday,3.44,80,1139718.26
7841,9493455.67,9799578.6,184,894,755290545.29,winter,sunday,4.48,664,8636319.47
2268,9659413.45,10374747.87,119,12,974897824.28,winter,wednesday,3.04,598,9148250.67
2774,8101217.72,7931725.18,214,673,98717516.43,festival,wednesday,4.44,698,7092446.06
4711,3108722.45,2818980.28,309,312,88550313.44,monsoon,thursday,4.68,187,3063266.59
